TUBERCULOSE - Casos confirmados notificados no Sistema de Informação de Agravos de Notificação - Brasil
Casos confirmados por UF de notificação e Ano Notificação
Período:2001-2020
"26 Pernambuco";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4308;4859;5168;5439;5359;4963;4771;4982;4993;5215;5347;5681;5488;5460;5643;5529;6296;6484;6816;6210;97;109108
"27 Alagoas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1271;1345;1401;1435;1483;1395;1339;1368;1480;1343;1368;1330;1313;1271;1065;1227;1296;1327;1310;993;10;26370
"28 Sergipe";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;492;590;670;653;827;718;588;691;704;632;666;613;712;793;766;792;820;972;1014;852;4;14569
"29 Bahia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7762;7726;8472;8124;7950;7267;6689;6626;7001;6478;6409;6033;5748;5667;5315;5272;5508;5662;5706;4603;50;130068
"31 Minas Gerais";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1166;5875;5934;6090;5955;5425;5295;5202;4862;4456;4596;4283;4196;4220;4014;4068;4105;4235;4327;3978;28;92310
"32 Espírito Santo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1614;1596;1533;1528;1462;1345;1432;1534;1432;1482;1444;1462;1378;1315;1390;1236;1321;1479;1476;1781;30;29270
"33 Rio de Janeiro";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16528;16779;15876;15932;15268;14408;14040;14499;14531;14278;14279;14118;13487;13042;13295;13538;14084;14749;15044;13456;125;291356
"35 São Paulo";1;3;2;3;1;1;1;2;1;4;2;4;5;4;3;1;2;3;2;18649;19867;19204;18612;17746;19222;17611;18464;17883;18284;19057;18628;19840;19654;20403;20395;22092;22302;21954;19419;263;389594
"41 Paraná";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3158;3320;3450;3309;3373;2965;2993;2990;2824;2793;2759;2525;2635;2557;2484;2444;2474;2859;2850;2904;40;57706
"42 Santa Catarina";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1595;1851;1868;1855;1835;1873;1840;1988;2046;2078;2179;2247;2278;2236;2142;2213;2249;2245;2327;1619;20;40584
"43 Rio Grande do Sul";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5044;5487;5752;5928;5644;5290;5416;5673;6129;6159;6320;6389;6342;6397;6398;6036;6529;6864;7615;6604;79;122095
"50 Mato Grosso do Sul";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;957;897;973;1047;1085;898;960;1020;1052;926;1046;1092;1097;995;1003;1132;1128;1445;1413;1224;3;21393
"51 Mato Grosso";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1359;1259;1230;1172;1350;1312;1154;1262;1183;1359;1352;1587;1891;1829;1406;1512;1425;1407;1541;1238;8;27836
"52 Goiás";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1111;1126;1235;1093;1104;993;963;955;1000;1020;986;1054;1076;993;1093;1031;1143;1217;1165;991;8;21357
"53 Distrito Federal";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;612;593;613;626;619;608;633;510;460;414;492;555;467;531;472;462;403;469;482;409;6;10436
"00 Ignorado/exterior";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"Total";1;3;2;3;1;1;1;2;1;4;2;4;5;4;3;1;2;3;2;83655;92089;93837;92987;91453;87327;83823;86452;86713;85408;87624;86134;86851;85018;85336;85900;91354;95390;97871;86044;943;1772254
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Excluídos os registros encerrados com mudança de diagnóstico.
 Períodos disponíveis - Correspondem aos anos de diagnóstico dos casos.
 Para tabular dados epidemiológicos de um determinado ano selecione na linha a variável de interesse, e na coluna a variável “Ano do diagnóstico”; em “Períodos Disponíveis” assinale o ano inicial da série e todos os posteriores até o ano atual (para
 Para cálculo da incidência selecione o local de residência e as seguintes categorias da variável “Tipo de entrada”: caso novo, não sabe e pós óbito.
 A variável “Beneficiário de programa de transferência de renda do governo” não contém dados do Estado de São Paulo (SP). Quanto a variável “Terapia antirretroviral durante o tratamento da TB”, os dados do estado de SP foram inseridos a partir do seg
 Não é possível calcular indicadores relacionados aos contatos de tuberculose.
 Em 2014, foram incluídas as seguintes variáveis no Sinan-Net (Tuberculose): populações especiais (população privada de liberdade, população em situação de rua, profissional de saúde e imigrante), doenças e agravos associados (uso de drogas ilícitas
 A variável “institucionalizado” foi descontinuada em 2015. Portanto, para análise referente à população privada de liberdade após esse período, utilizar a variável “PPL” (população privada de liberdade).
 Para informações detalhadas sobre o Sinan-Tuberculose e sobre as análises de indicadores epidemiológicos e operacionais da tuberculose, acessar o link: http://portalsinan.saude.gov.br/tuberculose
 Em caso de dúvidas, encaminhar e-mail para: tuberculose@saude.gov.br
 Dados de 2001 a 2016 estão finalizados.
 Dados de 2017 a 2020 atualizados em 02/2021, sujeitos à revisão.
 Dados de 2020 referentes ao estado do Espírito Santo são oriundos do Sistema de Informação e-SUS VS, em uso pelo estado desde janeiro de 2020. Variáveis de acompanhamento e encerramento são indisponíveis nesse sistema.
 Dados disponibilizados no TABNET em 04/2021, após homologação da Coordenação Geral de Vigilância das Doenças de Transmissão Respiratória de Condições Crônicas/DCCI/SVS.
 
